"","Adaptive Lasso Coefficient"
"f__Prevotellaceae",5.00368589171839
"f__Paraprevotellaceae",-0.192036890422876
"g__Blautia",-0.192038558829424
"s__symbiosum.",-0.192214172530559
"s__ramosum.",-0.192363028804814
"f__Microbacteriaceae",-0.187903114361474
"s__hathewayi.",-0.198139629414395
"g__Staphylococcus",-0.191833493159883
"s__adolescentis.",-0.193173752676671
"s__citroniae.",-0.192937046967761
"s__distasonis.",-0.201735500816828
"s__stutzeri.",-0.188787434598859
"o__Alteromonadales",-0.192141502053415
"s__fragilis.",-0.192256951386812
"c__Gammaproteobacteria~f__Enterobacteriaceae~o__Enterobacteriales",-0.192211799158156
"f__Myxococcales.0319.6G20~s__Myxococcales.sp",-0.19217057699124
"c__Lentisphaeria~o__Victivallales~p__Lentisphaerae",-0.192189398100272
"g__Streptococcus~f__Brevibacteriaceae~s__Brevibacterium.sp~c__Bacilli",-0.192206816329107
"c__Coriobacteriia~o__Coriobacteriales~f__Coriobacteriaceae",-0.190822675965783
"g__Paraprevotella~g__Paraprevotella.1",-0.194690588122065
"g__Erysipelotrichaceae.cc_115~s__Erysipelotrichaceae.cc_115.sp",-0.190295478005815
"s__Desulfovibrionaceae.sp~g__Desulfovibrionaceae.unidentified",-0.191601119880987
"s__Sphingomonas.sp~g__Actinomyces~s__Actinomyces~s__Roseburia.sp",-0.192627003088551
"s__Tepidimonas.sp~g__Tepidimonas",-0.192187613485546
"g__Rothia~s__mucilaginosa.",-0.190721823374866
"g__Shewanella~f__Shewanellaceae",-0.192199913016741
"s__Parvimonas.sp~g__Parvimonas",-0.19220001017549
