"","ADres"
"f__Prevotellaceae",5.00368589171839
"f__Paraprevotellaceae",-0.192036890422876
"g__Blautia",-0.192038558829424
"s__symbiosum.",-0.192214172530559
"s__ramosum.",-0.192363028804814
"f__Microbacteriaceae",-0.187903114361474
"s__hathewayi.",-0.198139629414395
"g__Staphylococcus",-0.191833493159883
"s__adolescentis.",-0.193173752676671
"s__citroniae.",-0.192937046967761
"s__distasonis.",-0.201735500816828
"s__stutzeri.",-0.188787434598859
"o__Alteromonadales",-0.192141502053415
"s__fragilis.",-0.192256951386812
"c__Gammaproteobacteria",0.110216675823398
"f__Enterobacteriaceae",0.1113500339157
"o__Enterobacteriales",0.1113500339157
"f__Myxococcales.0319.6G20",0.127107529240332
"s__Myxococcales.sp",0.14412913193232
"c__Lentisphaeria",-0.110960600728584
"o__Victivallales",-0.110960600728584
"p__Lentisphaerae",-0.110960600728584
"g__Streptococcus",0.0912813584165783
"f__Brevibacteriaceae",0.082078398009195
"s__Brevibacterium.sp",0.082078398009195
"c__Bacilli",0.123034332645339
"c__Coriobacteriia",-0.11017152333633
"o__Coriobacteriales",-0.11017152333633
"f__Coriobacteriaceae",-0.11017152333633
"g__Paraprevotella",-0.13766703509431
"g__Paraprevotella.1",-0.137667035094309
"g__Erysipelotrichaceae.cc_115",-0.134559222927047
"s__Erysipelotrichaceae.cc_115.sp",-0.134559222927047
"s__Desulfovibrionaceae.sp",-0.135482451150782
"g__Desulfovibrionaceae.unidentified",-0.135482451150782
"s__Sphingomonas.sp",-0.0869003583811274
"g__Actinomyces",-0.104885217607964
"s__Actinomyces",-0.104885217607964
"s__Roseburia.sp",-0.0869003583811274
"s__Tepidimonas.sp",0.135897164755689
"g__Tepidimonas",0.135897164755689
"g__Rothia",-0.134860694628631
"s__mucilaginosa.",-0.134860694628631
"g__Shewanella",-0.135905861837602
"f__Shewanellaceae",-0.135905861837602
"s__Parvimonas.sp",-0.135905930539212
"g__Parvimonas",-0.135905930539212
