"","Cluster Number"
"Otu000153",0
"Otu000653",0
"Otu000813",0
"Otu000226",1
"Otu000645",1
"Otu000460",0
"Otu000620",0
"Otu000397",0
"Otu000115",0
"Otu000400",0
"Otu001119",0
"Otu000359",0
"Otu000315",0
"Otu000485",0
"Otu000169",0
"Otu000334",0
"Otu000186",0
"Otu000121",0
"Otu001568",0
"Otu000211",0
"Otu000413",0
"Otu000374",0
"Otu000124",0
"Otu000393",0
"Otu000358",0
"Otu000013",0
"Otu001109",0
"Otu000284",0
"Otu000095",0
"Otu000060",0
"Otu000108",0
"Otu000306",0
"Otu000375",0
"Otu000079",0
"Otu000046",0
"Otu000713",0
"Otu000038",0
"Otu000294",0
"Otu000684",0
"Otu000084",0
"Otu001914",0
"Otu000331",0
"Otu001212",0
"Otu000042",0
"Otu000454",0
"Otu000283",0
"Otu001205",0
"Otu000117",0
"Otu000984",0
"Otu000165",0
"Otu000183",0
"Otu000012",0
"Otu000242",0
"Otu001485",0
"Otu000507",0
"Otu000394",0
"Otu000391",0
"Otu000639",0
"Otu000035",0
"Otu000201",0
"Otu000378",0
"Otu000402",0
"Otu001169",0
"Otu001023",0
"Otu001162",0
"Otu001004",0
"Otu000071",0
"Otu000717",0
"Otu000589",0
"Otu000800",0
"Otu000103",0
"Otu001098",0
"Otu000588",0
"Otu001204",1
"Otu000288",0
"Otu001209",0
"Otu000846",0
"Otu000099",0
"Otu001438",0
"Otu000853",0
"Otu000785",0
"Otu000349",0
"Otu000640",0
"Otu000100",0
"Otu000175",0
"Otu000185",0
"Otu005596",0
"Otu000790",0
"Otu000252",0
"Otu001350",0
"Otu000385",0
"Otu000407",0
"Otu002730",0
"Otu000303",0
"Otu000821",0
"Otu000632",0
"Otu000039",0
"Otu000150",0
"Otu000179",0
"Otu000952",0
